id;lang;reference;content;local_content_key_id;created_at;updated_at;deleted_at
1;1;en;debug panel;Debug panel;2020-11-28 22:19:23;;
2;1;fr;debug panel;Debug panel;2020-11-28 22:19:23;;
3;2;en;permet de voir la reference des text de traduction pour facilite la recherche.;Permet de voir la reference des text de traduction pour facilité la recherche.;2020-11-28 22:19:23;;
4;2;fr;permet de voir la reference des text de traduction pour facilite la recherche.;Permet de voir la reference des text de traduction pour facilité la recherche.;2020-11-28 22:19:23;;
5;3;en;activer le mode debug;Activer le mode debug;2020-11-28 22:19:23;;
6;3;fr;activer le mode debug;Activer le mode debug;2020-11-28 22:19:23;;
7;4;en;regenerate cache;Regenerate Cache;2020-11-28 22:19:23;;
8;4;fr;regenerate cache;Regenerate Cache;2020-11-28 22:19:23;;
9;5;en;retour a ladministration;Retour à l'administration;2020-11-28 22:19:23;;
10;5;fr;retour a ladministration;Retour à l'administration;2020-11-28 22:19:23;;
11;6;en;hello devups. waitting for your front-end template. do your best :);Hello Devups. Waitting for your front-end template. Do your best :);2020-11-28 22:43:26;;
12;6;fr;hello devups. waitting for your front-end template. do your best :);Hello Devups. Waitting for your front-end template. Do your best :);2020-11-28 22:43:26;;
21;11;en;hello devups.  waitting for your front-end template. do your best ;Hello Devups.  Waitting for your front-end template. Do your best ;2020-11-28 22:49:50;;
22;11;fr;hello devups.  waitting for your front-end template. do your best ;Hello Devups.  Waitting for your front-end template. Do your best ;2020-11-28 22:49:50;;
23;12;en;configuration.id;#;2020-11-29 03:23:38;;
24;12;fr;configuration.id;#;2020-11-29 03:23:38;;
25;13;en;configuration._key;_key;2020-11-29 03:23:38;;
26;13;fr;configuration._key;_key;2020-11-29 03:23:38;;
27;14;en;configuration._value;_value;2020-11-29 03:23:38;;
28;14;fr;configuration._value;_value;2020-11-29 03:23:38;;
29;15;en;configuration._type;_type;2020-11-29 03:23:38;;
30;15;fr;configuration._type;_type;2020-11-29 03:23:38;;
31;16;en;configuration.comment;Comment;2020-11-29 03:23:38;;
32;16;fr;configuration.comment;Comment;2020-11-29 03:23:38;;
33;17;en;dashboards;Dashboards;2020-11-29 03:23:38;;
34;17;fr;dashboards;Dashboards;2020-11-29 03:23:38;;
35;18;en;dashboard;Dashboard;2020-11-29 03:23:39;;
36;18;fr;dashboard;Dashboard;2020-11-29 03:23:39;;
37;19;en;desactive le mode debug.;Desactive le mode debug.;2020-11-29 03:24:17;;
38;19;fr;desactive le mode debug.;Desactive le mode debug.;2020-11-29 03:24:17;;
39;20;en;desactiver le mode debug;Desactiver le mode debug;2020-11-29 03:24:17;;
40;20;fr;desactiver le mode debug;Desactiver le mode debug;2020-11-29 03:24:17;;
41;21;en;details;Details;2020-11-29 03:46:53;;
42;21;fr;details;Details;2020-11-29 03:46:53;;
43;22;en;local_content.reference;Reference;2020-11-29 03:52:27;;
44;22;fr;local_content.reference;Reference;2020-11-29 03:52:27;;
45;23;en;local_content.lang;Lang;2020-11-29 03:52:27;;
46;23;fr;local_content.lang;Lang;2020-11-29 03:52:27;;
47;24;en;local_content.content;Content;2020-11-29 03:52:27;;
48;24;fr;local_content.content;Content;2020-11-29 03:52:27;;
