position;name;description;slug;status;parent_id;main;chain;tree_id;created_at;updated_at;deleted_at
0;kkk;;kkk;;;1;;1;2021-01-30 11:26:23;;
0;slider;;slider;;;1;;4;2021-01-30 11:51:11;;
0;banner;;banner;;;1;;4;2021-01-30 12:04:04;;
0;logo;;logo;;;1;;4;2021-01-30 12:04:09;;
0;product;;product;;;1;;4;2021-01-30 16:50:56;;
0;Accueil;;accueil;;;1;;5;2021-01-30 17:19:23;;
1;Publication;;comicbooks;;;1;;5;2021-01-30 17:19:43;2021-02-21 08:03:26;
2;Gallerie;;gallery;;;1;;5;2021-01-30 17:19:50;2021-02-13 18:51:38;
3;A propos;;about-us;;;1;;5;2021-01-30 17:20:05;2021-02-13 19:21:40;
4;Contact;;contact;;;1;;5;2021-01-30 17:20:11;;
5;login;;login;;;1;;5;2021-01-30 17:20:17;;
0;partners;;partners;;;1;;4;2021-02-06 23:16:15;;
0;defaultadmin;;defaultadmin;;;1;;6;2021-02-13 10:23:42;;
0;gallery;;gallery;;;1;;4;2021-02-13 14:04:37;;
0;history;;history;;9;0;;5;2021-02-13 20:03:23;;
0;question recurente;;question-recurente;;9;0;;5;2021-02-13 20:10:58;;
0;logoscan;;logoscan;;;1;;6;2021-02-14 07:10:32;;
0;news;;news;;;1;;3;2021-02-14 13:52:48;;
1;Activités;;activities;;;1;;5;2021-02-21 07:54:39;2021-02-21 08:03:11;
